name,total_mass_source_upper,redshift_upper,p_astro_lower,chirp_mass_source_upper,mass_1_source_upper,commonName,chi_eff_upper,far_lower,catalog.shortName,far_upper,total_mass_source_lower,network_matched_filter_snr_lower,mass_1_source_lower,reference,version,jsonurl,final_mass_source_lower,redshift,final_mass_source,chirp_mass,total_mass_source,mass_1_source,GPS,chi_eff_lower,network_matched_filter_snr,far,final_mass_source_upper,mass_2_source,p_astro_upper,luminosity_distance,chirp_mass_lower,chirp_mass_upper,network_matched_filter_snr_upper,luminosity_distance_upper,chirp_mass_source_lower,redshift_lower,mass_2_source_upper,luminosity_distance_lower,mass_2_source_lower,chirp_mass_source,p_astro,chi_eff
GW190708_232457-v2,2.8,0.06,,0.9,4.3,GW190708_232457,0.1,,GWTC-2.1-confident,,-2.2,-0.3,-4.3,/GWTC-2.1/,2,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190708_232457/v2,-2.1,0.19,30.1,,31.4,19.8,1246663515.3,-0.1,13.4,0.00031,2.9,11.6,,930.0,,,0.2,310.0,-0.6,-0.07,3.1,-390.0,-2.0,13.1,0.99965,0.05
GW190707_093326-v2,1.7,0.06,,0.6,2.6,GW190707_093326,0.1,,GWTC-2.1-confident,,-1.2,-0.4,-2.0,/GWTC-2.1/,2,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190707_093326/v2,-1.2,0.17,19.2,,20.1,12.1,1246527224.1,-0.09,13.1,1e-05,1.7,7.9,,850.0,,,0.2,340.0,-0.4,-0.08,1.6,-400.0,-1.3,8.4,1.0,-0.04
GW190706_222641-v2,27.4,0.33,,13.0,20.1,GW190706_222641,0.25,,GWTC-2.1-confident,,-16.8,-0.4,-16.9,/GWTC-2.1/,2,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190706_222641/v2,-15.9,0.6,107.3,,112.6,74.0,1246487219.3,-0.31,13.4,5e-05,25.2,39.4,,3630.0,,,0.2,2600.0,-9.1,-0.29,18.4,-2000.0,-15.4,45.6,1.0,0.28
GW190701_203306-v2,12.0,0.11,,5.4,12.6,GW190701_203306,0.23,,GWTC-2.1-confident,,-9.5,-0.4,-8.0,/GWTC-2.1/,2,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190701_203306/v2,-8.9,0.38,90.2,,94.3,54.1,1246048404.5,-0.31,11.2,0.0057,11.2,40.5,,2090.0,,,0.2,770.0,-5.0,-0.12,8.7,-740.0,-12.1,40.2,0.99986,-0.08
GW190630_185205-v2,4.7,0.09,,2.2,6.5,GW190630_185205,0.14,,GWTC-2.1-confident,,-4.8,-0.3,-5.5,/GWTC-2.1/,2,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190630_185205/v2,-4.5,0.18,56.6,,59.4,35.1,1245955943.1,-0.13,16.4,1e-05,4.4,24.0,,870.0,,,0.2,530.0,-2.1,-0.07,5.5,-360.0,-5.2,25.1,1.0,0.1
GW190620_030421-v2,18.5,0.23,,8.5,19.2,GW190620_030421,0.22,,GWTC-2.1-confident,,-13.2,-0.4,-13.3,/GWTC-2.1/,2,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190620_030421/v2,-12.4,0.5,88.0,,92.7,58.0,1245035079.3,-0.29,12.1,0.011,17.2,35.0,,2910.0,,,0.3,1710.0,-7.2,-0.2,13.1,-1320.0,-14.5,38.1,0.98748,0.34
GW190602_175927-v2,19.2,0.26,,9.5,18.1,GW190602_175927,0.25,,GWTC-2.1-confident,,-14.8,-0.3,-14.6,/GWTC-2.1/,2,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190602_175927/v2,-13.9,0.49,110.5,,115.6,71.8,1243533585.0,-0.28,13.2,1e-05,17.9,44.8,,2840.0,,,0.2,1930.0,-9.7,-0.2,15.5,-1280.0,-19.6,48.0,1.0,0.12
GW190527_092055-v2,18.1,0.29,,6.8,18.7,GW190527_092055,0.22,,GWTC-2.1-confident,,-8.8,-0.9,-8.0,/GWTC-2.1/,2,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190527_092055/v2,-8.5,0.44,55.5,,58.1,35.6,1242984073.7,-0.22,8.0,0.23,17.9,22.2,,2520.0,,,0.4,2080.0,-3.9,-0.19,9.0,-1230.0,-8.7,23.9,0.84784,0.1
GW190521_074359-v2,7.0,0.1,,3.2,5.8,GW190521_074359,0.13,,GWTC-2.1-confident,,-5.9,-0.2,-5.5,/GWTC-2.1/,2,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190521_074359/v2,-5.4,0.21,72.6,,76.3,43.4,1242459857.4,-0.13,25.9,1e-05,6.5,33.4,,1080.0,,,0.1,580.0,-2.8,-0.1,5.2,-530.0,-6.8,32.8,1.0,0.1
GW190521_030229-v4,42.2,0.36,,19.6,33.6,GW190521,0.5,,GWTC-2.1-confident,,-16.2,-0.4,-21.7,/GWTC-2.1/,4,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190521/v4,-16.0,0.56,147.4,,153.1,98.4,1242442967.4,-0.45,14.3,0.0013,40.0,57.2,,3310.0,,,0.5,2790.0,-14.6,-0.27,27.1,-1800.0,-30.1,63.3,0.99989,-0.14
GW190519_153544-v2,14.4,0.24,,6.8,10.8,GW190519_153544,0.2,,GWTC-2.1-confident,,-13.9,-0.3,-11.0,/GWTC-2.1/,2,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190519_153544/v2,-12.9,0.45,100.0,,105.6,65.1,1242315362.3,-0.24,15.9,1e-05,13.0,40.8,,2600.0,,,0.2,1720.0,-7.5,-0.15,11.5,-960.0,-12.7,44.3,1.0,0.33
GW190517_055101-v2,9.9,0.26,,4.0,13.9,GW190517_055101,0.21,,GWTC-2.1-confident,,-9.8,-0.6,-9.2,/GWTC-2.1/,2,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190517_055101/v2,-9.4,0.33,60.1,,64.1,39.2,1242107479.8,-0.28,10.8,0.00035,9.9,24.0,,1790.0,,,0.5,1750.0,-4.2,-0.15,7.4,-880.0,-7.9,26.5,1.0,0.49
