,eventid,chirp_mass,far,mass1,mass2,snr,spin1z,spin2z,template_duration,chisq,likelihood,group,group_name,total_mass,mass_ratio,mass_dos,luminosity_distance
40,S190630ag,28.700702667236,1.4353356234068e-13,47.117332,23.614485,14.91817,0.038690284,0.14594713,2.4198963489025,1.0146464,24.250804408465,3,O3,70.73181699999999,1.995272477888042,0.3322811147351128,1819.473985696055
41,S190602aq,29.432984654426,1.9005275053463e-09,107.32877,12.902694,3.3472133,-0.26202616,-0.26202616,0.22277699410915,0.0,0.0,3,O3,120.231464,8.318322514662443,0.7853690943994495,7625.697118609047
42,S190521r,38.981330280851,3.1675458422439004e-10,53.585979,37.650032,12.236875,0.057224628,0.057224628,0.24373088777065,0.67242545,0.0,3,O3,91.236011,1.423265164821108,0.17466729228221078,3045.597303008888
43,S190521g,32.96348792731,3.8010550106926e-09,185.41696,10.617359,3.0405531,0.097560056,0.097560056,0.1565758138895,0.0,0.0,3,O3,196.03431899999998,17.4635669755539,0.8916785687918247,4978.9278142904295
44,S190519bj,55.320711766582,5.7015825160389e-09,108.41077,39.149906,2.0929246,0.51104957,0.51104957,0.17766018211842,0.0,0.0,3,O3,147.560676,2.769119547822158,0.4693720974821232,7141.914124593588
45,S190517h,39.924793243408,2.372909985023e-09,48.22736,43.633629,7.1716919,0.65398544,0.93295497,1.8389626790746,0.74662626,12.98877854839,3,O3,91.86098899999999,1.1052795998242548,0.05000741936275037,5402.988883977287
46,S190513bm,28.700702667236,3.7340031163712e-13,47.117332,23.614485,8.9934006,0.038690284,0.14594713,2.4198963489025,0.93986315,21.462912268534,3,O3,70.73181699999999,1.995272477888042,0.3322811147351128,3527.6828073761812
47,S190512at,17.832549595205,1.9005275053463e-09,28.590052,14.980974,2.5509763,-0.11414482,-0.11414482,1.0272878408432,0.0,0.0,3,O3,43.571026,1.9084241118100866,0.3123423809207522,4615.537680757513
48,S190510g,1.4812449216843,8.8335691573039e-09,2.4542997,1.2089428,4.6641059,0.32150871,-0.047076762,255.10378388035,0.80190045,11.789208286304,3,O3,3.6632425,2.0301206144740678,0.3399602674406622,1616.9414036301102
49,S190503bf,16.588201522827,1.6361115950361e-09,55.742626,7.7206206,8.4570713,-0.74016863,-0.82957315,6.2922991718239,0.99275166,13.309144923674,3,O3,63.463246600000005,7.219967006279262,0.7566900209608879,3329.038557763995
50,S190426c,2.594836473465,1.9469418176335e-08,7.5904498,1.3392493,6.9109416,0.067197911,-0.0075805523,102.24057760504,1.1301836,11.076206477692,3,O3,8.9296991,5.667689951377985,0.7000460407450906,1018.0654778632263
51,S190425z,1.4869968891144,4.5376478712626e-13,2.2661283,1.3069071,12.853062,0.088768743,-0.027511597,252.67496043766,0.82219613,21.272231274659,3,O3,3.5730354,1.7339628042421684,0.2684611521061336,208.50824632597892
52,S190421ar,40.491118268412,1.4887465458546e-08,79.200195,28.699919,7.9530478,-0.22684416,-0.22684416,0.17209899425507,1.0717865,0.0,3,O3,107.900114,2.7595964643663278,0.46802801339023603,5323.520904637934
53,S190412m,15.25482749939,1.682895861118e-27,26.368868,12.002029,8.6108551,0.44773224,-0.72697771,6.4842416032339,0.81220877,53.747748327401,3,O3,38.370897,2.1970341848032526,0.3744202018524612,1691.2470138531287
54,S190408an,23.718837738037,2.8109616461574e-18,32.132198,23.224018,9.3975878,0.27901691,-0.64744294,3.3826832974601,1.0550586,33.213521787844,3,O3,55.356216,1.3835761753198779,0.1609246556881706,2457.5400411507044
